# This file specifies the times (floored bkjd) and skygroups during which
# an anomalous number of long-period (>50 days) transits were detected.
#
# bkjd skygroup
133.00 78
134.00 78
134.50 66
135.00 43
135.50 43
136.00 43
138.00 43
138.00 75
138.00 82
139.50 14
139.50 61
140.00 43
140.50 77
140.50 79
140.50 80
141.50 68
142.00 61
145.00 76
145.50 67
147.50 31
148.50 38
148.50 66
151.00 36
151.00 53
151.50 74
153.00 60
153.50 76
156.50 38
158.50 78
161.50 70
162.50 66
164.00 67
172.00 18
172.00 62
172.50 40
172.50 58
172.50 73
173.00 18
173.00 42
173.00 58
173.50 13
173.50 62
174.00 53
174.50 68
174.50 76
174.50 81
175.50 42
175.50 73
176.00 7
176.00 56
178.50 57
182.50 73
183.00 22
183.00 73
184.50 18
185.00 18
185.50 18
185.50 42
185.50 58
185.50 68
186.00 18
186.50 18
186.50 63
187.00 18
188.00 51
188.50 73
190.50 64
200.50 80
201.00 80
206.00 74
206.50 56
209.00 16
209.00 53
209.00 68
209.00 73
209.50 79
211.00 67
213.00 74
213.50 74
214.50 38
215.00 59
218.00 58
221.00 58
223.00 51
223.00 58
224.00 58
224.00 80
227.00 38
230.00 58
230.50 58
231.00 58
231.00 65
231.50 58
232.00 58
232.50 58
233.00 26
233.00 58
233.50 26
233.50 58
234.00 26
234.00 58
234.50 58
235.00 26
235.00 58
235.00 73
235.50 58
236.00 58
237.00 26
238.00 58
238.50 58
238.50 61
240.00 58
240.00 60
241.50 58
244.50 60
244.50 75
245.00 56
245.00 75
246.00 58
249.00 56
250.00 76
250.50 76
250.50 80
254.50 18
254.50 20
254.50 64
254.50 80
255.50 57
260.50 47
261.00 41
264.00 24
266.00 41
266.00 66
268.00 66
271.00 18
273.00 46
273.00 59
274.00 50
283.00 61
283.00 79
284.00 31
284.50 18
285.00 75
286.00 80
286.50 65
290.00 41
295.00 56
295.00 59
299.00 41
299.50 41
300.50 78
301.00 16
301.50 56
302.00 68
304.50 67
305.00 45
305.50 81
307.00 66
307.50 66
307.50 80
308.50 66
309.00 49
309.00 66
315.00 56
317.50 74
322.50 79
324.50 60
326.00 62
326.50 66
327.00 17
327.00 66
327.50 64
332.00 78
332.00 80
336.50 55
338.50 31
339.00 56
339.00 76
339.50 64
345.00 67
349.00 76
352.50 73
354.50 73
356.00 63
359.50 57
361.50 18
365.00 68
365.50 61
366.50 59
367.50 55
368.00 64
369.50 12
370.00 31
372.00 74
373.00 51
373.50 22
373.50 58
373.50 75
373.50 76
377.50 18
377.50 80
380.00 76
391.50 40
392.00 55
398.00 68
399.00 49
400.50 58
401.50 58
402.50 26
402.50 61
403.00 70
403.00 81
403.50 58
405.00 19
405.00 58
406.50 79
409.00 18
409.00 60
410.00 77
412.00 71
414.50 58
415.00 18
421.00 38
423.00 60
424.50 21
427.00 59
433.00 57
435.50 77
438.00 45
438.50 30
438.50 61
439.00 17
444.50 75
446.50 31
448.50 73
452.50 56
452.50 66
454.00 54
458.50 81
460.50 73
462.50 75
465.00 54
467.00 81
468.50 53
468.50 80
477.00 74
478.00 47
478.00 78
479.50 76
481.00 31
484.50 64
485.50 16
488.00 74
488.50 40
489.00 18
491.00 38
491.50 58
495.00 61
495.00 84
495.50 35
498.00 53
498.00 75
498.50 73
499.50 79
501.50 82
506.00 43
507.00 43
509.00 43
509.50 43
509.50 60
510.00 43
510.50 43
510.50 75
511.00 43
511.00 63
511.50 43
511.50 66
512.50 43
513.00 43
513.50 79
515.50 18
515.50 43
516.00 43
516.50 66
518.00 38
518.50 66
519.00 53
519.50 18
520.00 66
520.50 18
521.00 66
522.00 17
523.00 66
525.00 60
526.50 67
527.50 67
527.50 73
529.50 79
530.00 18
530.00 80
530.50 47
536.50 61
537.00 78
540.00 58
540.00 75
541.00 68
543.50 7
545.50 8
546.00 58
546.00 74
546.50 42
547.00 65
548.00 42
548.50 26
549.00 26
549.00 42
549.50 22
549.50 58
551.00 42
551.50 43
552.50 73
553.00 73
554.00 65
556.00 60
557.50 42
558.00 75
560.00 55
563.00 66
563.50 68
575.00 56
577.00 65
581.50 57
583.50 18
584.50 74
585.50 66
587.00 68
587.50 74
588.50 55
590.50 31
591.00 53
592.00 73
593.00 41
597.00 31
599.50 42
600.50 58
601.00 42
601.00 58
601.50 26
601.50 58
602.00 26
602.00 58
602.50 26
602.50 58
602.50 62
603.00 58
603.50 26
603.50 58
603.50 74
604.00 26
604.00 58
604.50 26
604.50 58
604.50 65
605.00 58
605.50 58
606.00 53
606.00 58
606.50 56
607.00 26
607.50 26
608.00 58
609.00 70
610.00 31
610.50 19
611.50 75
612.00 75
613.50 59
617.00 25
618.00 59
620.00 75
624.00 33
628.00 61
631.00 18
631.50 39
632.00 18
632.00 41
632.50 41
633.00 41
633.00 49
633.50 41
633.50 48
633.50 64
633.50 74
634.00 41
634.00 60
635.00 41
635.50 41
636.50 18
637.00 41
638.00 41
638.00 79
638.50 66
639.00 41
640.00 74
641.00 80
643.50 67
643.50 68
647.00 60
652.00 76
652.50 73
653.50 51
657.50 59
660.50 76
663.00 81
664.00 40
664.50 38
666.00 41
666.00 76
666.50 63
667.50 41
669.00 41
669.50 41
670.00 41
671.50 79
672.00 77
672.00 80
672.50 75
679.00 66
679.00 77
680.00 18
683.00 49
683.50 58
694.50 73
695.50 54
695.50 64
698.50 47
698.50 66
699.00 77
699.00 84
704.50 73
706.00 78
707.00 18
709.50 66
711.50 21
713.00 24
713.50 56
717.00 41
718.00 57
718.00 61
718.00 67
737.00 28
737.00 49
737.50 26
738.00 56
740.00 45
740.00 65
740.50 59
740.50 77
741.00 78
744.00 75
744.50 56
747.50 53
748.00 60
749.00 80
749.50 78
749.50 80
750.00 78
750.50 56
751.00 58
752.00 66
752.00 67
752.00 68
754.50 68
756.00 55
757.50 56
758.00 81
760.50 55
761.50 61
764.50 58
766.50 46
772.50 56
773.00 73
775.00 79
775.00 82
778.00 73
782.50 73
784.50 70
785.50 65
786.00 58
787.00 76
791.50 58
791.50 70
797.00 18
798.50 39
798.50 58
799.00 55
799.50 64
801.00 31
809.50 18
816.50 59
817.50 16
819.00 80
819.50 60
827.50 73
831.50 38
833.50 79
836.00 74
836.50 75
839.00 42
839.00 60
839.00 75
840.00 37
842.00 45
845.00 82
848.50 70
849.50 1
850.50 18
850.50 75
850.50 78
854.00 17
855.00 61
859.00 80
862.50 18
864.00 38
865.50 83
866.00 67
868.00 45
868.50 40
871.00 66
871.50 68
876.50 45
877.00 73
877.50 18
877.50 63
877.50 81
879.00 56
879.50 66
880.00 66
881.00 43
881.00 74
882.00 66
882.50 53
883.00 60
883.00 66
883.50 66
883.50 74
884.00 43
884.00 53
885.00 43
885.50 43
886.00 22
886.00 43
886.00 66
886.50 43
887.50 43
888.00 43
889.00 43
889.50 66
889.50 79
890.00 65
890.50 43
890.50 58
891.50 66
893.50 53
894.50 18
895.50 31
896.00 74
897.00 18
897.50 18
900.00 53
900.00 80
902.50 59
902.50 76
907.50 26
907.50 58
907.50 62
908.00 45
909.50 58
909.50 68
911.00 75
911.50 22
911.50 68
912.00 22
912.50 53
912.50 58
913.50 22
914.50 35
914.50 54
914.50 59
914.50 61
914.50 67
916.00 22
916.00 56
917.00 55
917.50 58
918.00 52
918.00 58
918.00 61
921.00 25
923.00 42
923.50 26
924.00 18
925.50 75
927.00 58
929.00 8
929.00 58
930.00 42
931.50 38
932.50 58
932.50 73
933.50 53
943.50 73
945.50 74
947.50 76
949.00 55
950.00 74
951.00 40
