#        TCE       KIC PN       Period        Epoch        MES     Depth Duration  Rplanet   Rstar Tstar  logg          a RadRatio a/Rstar      SNR       Srad
#                               (Days)       (BKJD)                (ppm)  (Hours) (Rearth)  (Rsun)   (K) (cgs)       (AU)                             (Searth)
#          1         2  3            4            5          6         7        8        9      10    11    12         13      14       15       16         17
001430741-05 001430741 05  51.40223987 131.70607555     8.2965     623.0   5.9713    6.548   2.051  6935 3.989    0.30950 0.029255   22.79      8.7     91.008
001430741-06 001430741 06  79.33875593 146.59424148     9.1212     666.0   6.1197    6.571   2.051  6935 3.989    0.41336 0.029358   37.72      6.4     51.020
001431794-01 001431794 01   1.25121186 132.07540858    15.5111     224.0   2.4482    4.112   2.349  7329 3.915    0.02688 0.016042    2.06     13.9  19734.257
001431794-02 001431794 02   1.25127737 132.63209422    13.8632     133.8   8.6063    3.649   2.349  7329 3.915    0.02689 0.014235    1.03     14.3  19732.879
001432149-01 001432149 01   0.58319757 131.78261941     9.1836      20.7   2.3987    1.068   2.001  7466 4.036    0.01594 0.004889    1.25      9.6  43885.739
001433399-01 001433399 01   2.83542836 131.75118840     7.7480      63.4   8.9072    2.095   1.815  6865 4.076    0.04419 0.010576    1.10      5.6   3356.469
001433399-02 001433399 02   2.83487743 133.25445564    11.3363       0.0  18.7886    0.012   1.815  6865 4.076    0.04419 0.000061    1.17      0.0   3357.339
001433962-01 001433962 01   1.59185270 131.96550495     7.4928      79.4  15.8278    0.554   0.651  4506 4.626    0.02316 0.007805    1.05      9.6    291.906
001433980-01 001433980 01   1.59247608 131.64721755   812.3418   34235.8   4.5000   32.989   1.768  6574 4.061    0.02922 0.170991    3.23     -1.0   6124.972
001433980-02 001433980 02   0.79628291 131.60702707  4683.2944  284718.4   3.0000   96.465   1.768  6574 4.061    0.01841 0.500000    3.16     -1.0  15432.802
001434372-01 001434372 01   1.34839118 132.11243029     9.8069      10.6  11.9557    0.788   2.389  7495 3.926    0.02882 0.003022    1.09      9.5  19425.422
001434660-01 001434660 01   1.35924535 132.02311048    10.5377      32.2   0.8038    1.609   2.657  7526 3.878    0.02998 0.005551   10.26      6.1  22577.808
001434660-02 001434660 02   0.52850478 131.94408302    17.8644      66.4   0.5749    2.563   2.657  7526 3.878    0.01597 0.008840    3.41     17.1  79557.357
001434660-03 001434660 03   0.52850192 131.73430815    16.8691      75.5   0.7652    2.507   2.657  7526 3.878    0.01597 0.008648    3.92     21.9  79557.931
001434660-04 001434660 04   0.52850601 131.50448799    11.2207      46.5   1.5797    1.946   2.657  7526 3.878    0.01597 0.006713    2.03      9.6  79557.110
001434800-01 001434800 01   1.49880569 131.51439941     9.6686     254.6   5.0000    2.646   1.643  6814 4.128    0.02814 0.014761    2.39     -1.0   6585.683
001434800-02 001434800 02   1.49881752 132.01052208    10.8488      44.7   4.5163    1.184   1.643  6814 4.128    0.02814 0.006604    1.96     10.6   6585.613
001434800-03 001434800 03   1.49883065 132.48678745    11.7023      45.7   5.4670    1.299   1.643  6814 4.128    0.02814 0.007244    1.32     13.3   6585.536
001570191-01 001570191 01 615.66849071 329.75963255     7.6757     702.2   4.5391    3.093   1.081  5778 4.337    1.38085 0.026220  744.16      8.1      0.612
001570349-01 001570349 01   0.58127984 132.27684116    24.4458       2.5   4.0319    0.268   1.197  5883 4.293    0.01375 0.002054    1.01      0.9   8131.528
001570349-02 001570349 02  41.24860680 165.12549422    11.8402     526.3   1.9432    2.853   1.197  5883 4.293    0.23570 0.021845  136.75      9.9     27.678
001570349-03 001570349 03  34.83588641 160.08595108    10.2280     385.3   1.9509    2.803   1.197  5883 4.293    0.21059 0.021461   64.90      9.6     34.672
001570349-04 001570349 04  29.60178114 133.20123727    10.0780     760.2   0.6512    3.725   1.197  5883 4.293    0.18893 0.028515  234.62     10.0     43.079
001571152-01 001571152 01   0.60815083 132.08268593     8.6869      28.5   2.2167    0.980   1.580  7015 4.201    0.01589 0.005684    1.33      7.8  21450.037
001571152-02 001571152 02   1.31648139 132.18903313    13.6410      19.7  12.0752    0.742   1.580  7015 4.201    0.02659 0.004302    1.05      1.9   7659.907
001571717-01 001571717 01   1.24837725 132.70685689     9.3955      19.6   5.2093    1.099   2.134  8302 4.034    0.02759 0.004718    1.24      9.0  25465.981
001571717-02 001571717 02   0.56186485 131.90578368     9.2512      24.2   6.0934    1.061   2.134  8302 4.034    0.01620 0.004554    1.02     12.5  73832.185
001572114-01 001572114 01 271.30803217 286.35016495     7.8976    1153.1  17.1312    3.663   0.866  5518 4.511    0.78829 0.038765   55.72      8.7      1.002
001572114-02 001572114 02 366.42041162 373.44755066     8.7565    1286.0  43.4770    3.716   0.866  5518 4.511    0.96315 0.039328   33.58     11.2      0.672
001572201-01 001572201 01 546.45882180 468.92070042    11.0711      23.8   5.6108    1.644   3.061  8552 3.769    1.65061 0.004923  459.59      4.1     16.482
001573174-01 001573174 01   0.97927217 132.36058692    16.9399     290.3   6.0949    4.256   1.960  7159 4.035    0.02219 0.019901    1.06     11.9  18362.704
001573174-02 001573174 02   0.59391184 131.51411882    30.2782    1010.2   1.5000    6.329   1.960  7159 4.035    0.01590 0.029590    3.16     -1.0  35769.418
001573836-01 001573836 01   3.55707548 134.27725421     8.1322       7.4  22.6839    0.427   1.485  6486 4.136    0.04709 0.002634    1.22      3.7   1576.990
001574550-01 001574550 01 105.21869890 180.77519672     7.1690    5370.3  37.0346   10.222   1.000  5780 4.438    0.43627 0.093675   11.80     10.6      5.254
001574792-01 001574792 01   2.78398321 131.65379022     8.1038      22.7   6.6526    0.921   1.623  6818 4.165    0.04339 0.005198    1.57      6.5   2709.230
001574792-02 001574792 02   1.39141896 131.67328436     8.3388       7.6  13.2842    0.455   1.623  6818 4.165    0.02732 0.002570    1.05      3.0   6830.578
001575888-01 001575888 01 390.38728161 307.53173421     7.2317     194.1  11.6039    2.656   1.709  6381 4.038    1.09948 0.014240  152.71      7.2      3.589
