tce,keep,onEB,onCum,onOther
002019076-01,False,True,True,False
002019076-02,False,True,True,False
002019076-03,False,True,True,False
002020498-01,True,False,False,False
002021100-01,True,False,False,False
002140389-01,False,False,False,False
002141783-01,False,False,True,False
002141938-01,True,False,False,False
002141938-02,True,False,False,False
002141938-03,True,False,False,False
002142183-01,True,False,False,False
002142183-02,True,False,False,False
002142183-03,True,False,False,False
002142183-04,True,False,False,False
002142183-05,True,False,False,False
002142183-06,True,False,False,False
002142183-07,True,False,False,False
002142183-08,True,False,False,False
002142730-01,True,False,False,False
002157247-01,True,False,False,False
002157428-01,True,False,False,False
002157489-01,True,False,False,False
002158208-01,True,False,False,False
002158208-02,True,False,False,False
002159486-01,True,False,False,False
002159486-02,True,False,False,False
002159486-03,True,False,False,False
002159486-04,True,False,False,False
002159700-01,True,False,False,False
002161623-01,False,True,True,False
002161623-02,False,True,True,False
002162635-01,True,False,False,False
002162904-01,True,False,False,False
002162994-01,False,True,True,False
002164165-01,True,False,False,False
002164165-02,True,False,False,False
002164165-03,True,False,False,False
002164165-04,True,False,False,False
002164165-05,True,False,False,False
002164165-06,True,False,False,False
002164169-01,False,False,True,False
002164791-01,True,False,False,False
002164791-02,True,False,False,False
002164791-03,True,False,False,False
002164791-04,True,False,False,False
002165002-01,False,False,True,False
002165352-01,False,False,True,False
002165352-02,False,False,True,False
002165352-03,False,False,True,False
002165615-01,True,False,False,False
002166200-01,False,True,True,False
002166200-02,False,True,True,False
002166206-01,False,False,True,False
002166218-01,True,False,False,False
002167151-01,True,False,False,False
002167600-01,True,False,False,False
002167600-02,True,False,False,False
002167600-03,True,False,False,False
002167600-04,True,False,False,False
002167600-05,True,False,False,False
002167600-06,True,False,False,False
002167600-07,True,False,False,False
002167600-08,True,False,False,False
002167600-09,True,False,False,False
002167600-10,True,False,False,False
002167890-01,False,True,True,False
002167890-02,False,True,True,False
002167890-03,False,True,True,False
002168321-01,True,False,False,False
002168333-01,True,False,False,False
002168333-02,True,False,False,False
002168420-01,True,False,False,False
002285130-01,True,False,False,False
002285420-01,True,False,False,False
002285420-02,True,False,False,False
002285420-03,True,False,False,False
002285420-04,True,False,False,False
002285548-01,True,False,False,False
002285548-02,True,False,False,False
002297728-01,True,False,False,False
002297728-02,True,False,False,False
002297728-03,True,False,False,False
002297728-04,True,False,False,False
002297728-05,True,False,False,False
002297728-06,True,False,False,False
002297728-07,True,False,False,False
002297739-01,True,False,False,False
002299543-01,True,False,False,False
002300529-01,True,False,False,False
002300603-01,True,False,False,False
002300603-02,True,False,False,False
002300603-03,True,False,False,False
002300631-01,True,False,False,False
002301306-01,True,False,False,False
002302548-01,False,False,True,False
002302548-02,False,False,True,False
002302548-03,False,False,True,False
002302548-04,False,False,True,False
002302548-05,False,False,True,False
002302548-06,False,False,True,False
002302624-01,True,False,False,False
002303365-01,True,False,False,False
002303365-02,True,False,False,False
002303365-03,True,False,False,False
002304168-01,True,False,False,False
002304168-02,True,False,False,False
002304168-03,True,False,False,False
002304235-01,True,False,False,False
002304235-02,True,False,False,False
002304235-03,True,False,False,False
002304604-01,True,False,False,False
002305372-01,False,True,True,False
002305372-02,False,True,True,False
002305543-01,False,True,True,False
002305543-02,False,True,True,False
002306569-01,True,False,False,False
002306740-01,False,True,True,False
002307199-01,False,True,True,False
002307199-02,False,True,True,False
002307199-03,False,True,True,False
002307206-01,False,True,True,False
002307206-02,False,True,True,False
002307206-03,False,True,True,False
002307206-04,False,True,True,False
002307249-01,True,False,False,False
002307249-02,True,False,False,False
002307249-03,True,False,False,False
002307249-04,True,False,False,False
