#        TCE       KIC PN       Period        Epoch        MES     Depth Duration  Rplanet   Rstar Tstar  logg          a RadRatio a/Rstar      SNR       Srad
#                               (Days)       (BKJD)                (ppm)  (Hours) (Rearth)  (Rsun)   (K) (cgs)       (AU)                             (Searth)
#          1         2  3            4            5          6         7        8        9      10    11    12         13      14       15       16         17
005644211-01 005644211 01   1.72315374 132.27182735     8.5664      17.0   5.9714    1.028   2.145  7131 3.913    0.03128 0.004393    1.35      6.8  10898.053
005644211-02 005644211 02 231.13355965 174.54277011     7.3437     253.1   4.9766    4.275   2.145  7131 3.913    0.81952 0.018265  116.03      6.9     15.872
005645694-01 005645694 01   3.84934743 134.38190038     7.3435     155.6  12.9461    2.680   2.022  6474 3.984    0.05426 0.012146    1.90      8.3   2185.696
005645694-02 005645694 02   3.84829059 135.15573873     7.8998     344.3  34.8402    4.695   2.022  6474 3.984    0.05425 0.021278    1.03      9.2   2186.496
005645788-01 005645788 01   2.66945572 133.94244882    10.0775      78.6   4.1009    2.219   2.160  7830 4.027    0.04591 0.009413    2.46      9.2   7453.271
005645788-02 005645788 02   2.66858941 132.43390793     8.9247      59.8   6.7833    1.943   2.160  7830 4.027    0.04590 0.008242    1.63      8.5   7456.498
005645788-03 005645788 03   5.33737257 135.87358035     8.0620      75.7   8.0475    2.206   2.160  7830 4.027    0.07287 0.009360    2.34      8.2   2958.970
005645888-01 005645888 01   0.66743865 132.18281869     8.1812       8.9   5.1441    0.626   2.042  7673 4.042    0.01776 0.002808    1.16      6.8  41074.961
005646170-01 005646170 01   4.39204606 135.15307351     8.0937      31.0   9.8573    1.621   2.623  6620 3.783    0.06040 0.005665    2.19      8.2   3245.657
005646300-01 005646300 01 486.68737082 482.11038989    10.3519     370.0   1.6865    1.266   0.544  4280 4.713    0.99677 0.021328 1055.65      1.2      0.090
005646300-02 005646300 02 486.67619442 482.79906275    10.2608    1033.4   4.7695    1.830   0.544  4280 4.713    0.99676 0.030825  633.51      4.6      0.090
005647463-01 005647463 01 369.39108648 295.02715212    16.6850    1363.0   4.5000    2.166   0.597  4999 4.660    0.84724 0.033253  644.91     -1.0      0.278
005647463-02 005647463 02 324.45601350 191.89863535    10.8513     331.1   4.1461    1.291   0.597  4999 4.660    0.77705 0.019821  296.96      1.2      0.330
005647463-03 005647463 03 442.17938141 370.41018287    19.2023    1839.1   5.3961    2.524   0.597  4999 4.660    0.95517 0.038736  639.71      4.2      0.219
005647463-04 005647463 04 522.10067315 441.24218634    12.3845    2151.1  14.6373    2.794   0.597  4999 4.660    1.06705 0.042892  255.75      4.1      0.175
005647463-05 005647463 05 364.39848665 313.36286663    18.2869    1471.8   4.5000    2.251   0.597  4999 4.660    0.83958 0.034555  637.00     -1.0      0.283
005647514-01 005647514 01   0.72982536 131.53316649     9.1737      21.4   3.4278    0.871   1.792  7411 4.129    0.01847 0.004453    1.53      3.5  25448.860
005647514-02 005647514 02   2.81719246 133.54774963     8.2529      55.3  24.3014    1.411   1.792  7411 4.129    0.04544 0.007215    1.07      7.4   4202.795
005647638-01 005647638 01   2.43195644 133.77547763    10.6742      41.1   7.1642    1.775   2.500  6234 3.741    0.03819 0.006505    1.80     10.7   5798.475
005647638-02 005647638 02 173.89149155 291.84437061     7.1354     365.3   3.1677    5.616   2.500  6234 3.741    0.65792 0.020585  198.81      7.8     19.538
005647960-01 005647960 01 635.26948132 290.70588226     7.4384     363.3   5.5209    1.546   0.750  4805 4.604    1.35637 0.018886  624.55      6.3      0.146
005648096-01 005648096 01   0.67032656 131.75991274     8.5081       9.4   4.1021    0.629   2.013  8211 4.077    0.01812 0.002862    1.37      2.3  50271.962
005648291-01 005648291 01   2.36773111 131.58797945     7.5588      20.9   8.8089    0.534   1.025  5941 4.355    0.03317 0.004775    1.41      6.7   1065.873
005648449-01 005648449 01   4.34844438 132.08372744   167.8753     142.8   3.8644  201.747 101.451  3598 0.650    0.00000 0.018224    2.44     56.1      0.000
005648449-02 005648449 02   2.17433462 131.87132350    51.4041      65.2   3.1775  103.344 101.451  3598 0.650    0.00000 0.009335    2.65     34.2      0.000
005648449-03 005648449 03 224.64553293 156.70370215    23.8992     497.7   2.5000  209.296 101.451  3598 0.650    0.85941 0.018906  696.07     -1.0   2092.407
005649206-01 005649206 01   2.44576485 132.43050402  1557.6989  293588.5   4.5000   54.561   1.000  5780 4.438    0.03553 0.500000    6.28     -1.0    791.989
005649206-02 005649206 02   2.44553297 132.23827704   414.6399       0.0   3.0000   53.395   1.000  5780 4.438    0.03553 0.489307    9.29     -1.0    792.089
005649206-03 005649206 03   2.44785047 132.27045275     9.8468       0.6   5.8952    0.090   1.000  5780 4.438    0.03555 0.000825    1.59      0.0    791.090
005649206-04 005649206 04   4.88972134 134.86209766    24.0820   19993.2  15.0000   14.012   1.000  5780 4.438    0.05639 0.128403    2.88     -1.0    314.456
005649206-05 005649206 05 119.60443786 134.19460137    15.5234   13648.3  15.0000   11.573   1.000  5780 4.438    0.47518 0.106057   67.10     -1.0      4.429
005649215-01 005649215 01   2.44715963 132.35484779    67.6139     352.6   5.0915    3.269   0.863  5764 4.548    0.03506 0.034717    1.41     32.7    599.213
005649325-01 005649325 01 496.63729175 485.81686773    39.5224    1762.6  24.0764   11.034   2.229  5970 3.835    1.31865 0.045364   84.28     50.0      3.252
005649325-02 005649325 02 451.67047443 290.18679544    33.9037    1806.8  23.3917   11.105   2.229  5970 3.835    1.23780 0.045654   80.63     47.7      3.691
005649833-01 005649833 01   0.59753039 132.07713536     9.7657       1.3   3.1258    0.138   1.159  6543 4.382    0.01468 0.001088    1.51      0.5  10238.688
005649833-02 005649833 02 596.94893212 209.43967210     8.0720     611.7   5.3968    3.137   1.159  6543 4.382    1.46682 0.024806  566.26      7.2      1.025
005649833-03 005649833 03 144.15137606 207.13128061     8.4695     618.0   6.8991    3.505   1.159  6543 4.382    0.56881 0.027711   66.70      8.4      6.818
005649836-01 005649836 01   0.59803165 131.87479127   765.6763  142564.7   4.5642   41.750   1.000  5780 4.438    0.01389 0.382598    1.59    211.6   5179.725
005649837-01 005649837 01   0.59768941 131.92739445     9.1169       0.0   4.2846    0.014   0.863  6052 4.539    0.01360 0.000150    1.24      0.0   4836.485
005649837-02 005649837 02  14.37035661 133.93911882    12.4229    2772.3   1.5000    4.568   0.863  6052 4.539    0.11333 0.048501   76.39     -1.0     69.696
005649956-01 005649956 01   1.20793390 131.54372736  1223.7513   39414.2   3.2470   27.561   0.797  5601 4.533    0.02053 0.316904    2.68   1012.0   1329.040
005649964-01 005649964 01   1.73833769 132.32734246     9.7107     181.6   7.5634    2.731   1.685  6953 4.137    0.03181 0.014851    1.18      9.8   5876.756
005649964-02 005649964 02   1.96217880 132.82848072     9.9074     306.4   3.4301    3.430   1.685  6953 4.137    0.03448 0.018655    2.29     10.1   5000.327
005650062-01 005650062 01   1.01528003 132.17273892     9.1522      88.5   6.1497    1.736   1.830  6603 4.048    0.02193 0.008693    1.41     11.1  11858.938
005650314-01 005650314 01   1.07082668 131.55571165   113.0229     445.2   6.2266    2.301   0.653  4628 4.651    0.01816 0.032287    1.08     27.5    531.436
005650314-02 005650314 02   1.06999810 132.40077704    79.6121   20683.6   2.0000    9.063   0.653  4628 4.651    0.01815 0.127183    4.64     -1.0    531.985
005650420-01 005650420 01   1.04951344 132.06744880    15.5009      60.6   3.6211   12.775  13.417  4745 2.425    0.00000 0.008725    1.38      9.8      0.000
005651104-01 005651104 01   3.04024413 134.18912552   327.8403   10297.3   1.4647   11.724   0.791  5035 4.519    0.03739 0.135827   10.27    314.4    257.710
005651181-01 005651181 01   1.18524302 132.28351622    12.5044     139.9   6.9896    4.920   3.065  8529 3.769    0.02768 0.014712    1.04     13.0  58125.127
005651181-02 005651181 02 162.74794084 136.17036859     9.8883    1553.0   3.3878   14.064   3.065  8529 3.769    0.73676 0.042048  190.54      9.8     82.051
005651181-03 005651181 03  10.55691009 137.73030988     9.3888     522.0   2.4094    8.037   3.065  8529 3.769    0.11894 0.024031   17.38      9.9   3148.169
005651181-04 005651181 04  70.39531515 161.14577381    10.3298    1688.2   1.3843   13.622   3.065  8529 3.769    0.42139 0.040727  292.52     10.7    250.832
005651181-05 005651181 05  75.00713298 203.98192083     9.4003     458.7   8.4159    7.247   3.065  8529 3.769    0.43959 0.021667   43.11      6.1    230.482
005651181-06 005651181 06 225.25207629 351.90723664     9.8585    1505.9   3.3387   21.722   3.065  8529 3.769    0.91502 0.064945  189.03      9.9     53.196
005651181-07 005651181 07  66.49764149 195.64594713     9.1945    1398.1   3.3938   18.372   3.065  8529 3.769    0.40568 0.054931   55.53     11.3    270.623
005651181-08 005651181 08 286.82930095 272.72051579     8.6961     165.5   4.5000    4.001   3.065  8529 3.769    1.07498 0.011963  490.35     -1.0     38.543
005651327-01 005651327 01   0.54101355 131.66476171     8.4714      43.8   1.6650    1.224   1.586  6798 4.093    0.01356 0.007075    1.46      8.3  26162.360
005651327-02 005651327 02 199.09843513 305.11199819     7.4168    1057.3   4.5011    6.441   1.586  6798 4.093    0.69654 0.037214  135.11      8.0      9.920
005652237-01 005652237 01   0.89280103 132.07235881    12.7226      26.6   2.8916    1.206   1.985  6093 3.910    0.01911 0.005567    1.41     11.2  13316.390
005652260-01 005652260 01   4.46457450 134.72663348   274.8637   42554.5   3.8321   19.495   0.853  5743 4.553    0.05214 0.209440    8.41    188.1    260.841
005652260-02 005652260 02   4.46494561 135.60449604   258.7131   36093.9   0.5957   27.737   0.853  5743 4.553    0.05214 0.297988   53.55     74.9    260.812
005652303-01 005652303 01   1.14535228 131.61772898     8.1733       7.8   6.1443    0.587   2.004  9208 4.165    0.02762 0.002686    1.41      8.2  33902.778
005652303-02 005652303 02 272.88178126 142.42921481    14.3814     166.2  11.3986    2.772   2.004  9208 4.165    1.06156 0.012676  134.38      7.9     22.954
005652983-01 005652983 01 495.89371850 189.64160390    29.0632    1646.4   6.0096   17.000   3.107  5134 3.611    1.38415 0.050142  275.52     34.3      3.136
005653126-01 005653126 01 602.69012779 371.87179629  2174.9670  172526.4  10.0504  136.963   2.345  6050 3.823    1.53764 0.535236  585.21   1447.7      2.792
005653126-02 005653126 02 404.67279440 410.35098290  1573.4630  140232.2   9.5812  128.670   2.345  6050 3.823    1.17904 0.502829  389.89   1411.6      4.748
005653126-03 005653126 03 330.14669968 217.33764498  1210.0802   84704.1   8.4129  108.465   2.345  6050 3.823    1.02943 0.423868  315.26   1005.0      6.229
005653126-04 005653126 04 506.07817515 448.85659508  1224.8064   75660.8   8.1848  107.656   2.345  6050 3.823    1.36858 0.420709  482.37    701.8      3.524
005653126-05 005653126 05 340.88498002 333.42539005  1084.9347   92352.5   8.5410  107.343   2.345  6050 3.823    1.05163 0.419484  327.87    775.8      5.969
005653126-06 005653126 06 409.83954613 487.43198959  1050.0568   62634.8   7.7686   86.407   2.345  6050 3.823    1.18905 0.337668  390.56    623.1      4.669
005653126-07 005653126 07 443.01320316 294.93860669   958.0388   34704.6   7.5000   43.630   2.345  6050 3.823    1.25238 0.170501  526.26     -1.0      4.208
005653152-01 005653152 01   1.79461894 132.40683166    14.3014     121.4   7.8850    1.014   0.746  4608 4.559    0.02609 0.012461    1.24     12.6    330.223
005653152-02 005653152 02   3.59087807 133.47654577    15.9664     390.8   5.9904    2.941   0.746  4608 4.559    0.04143 0.036124    1.66     12.9    130.969
005653152-03 005653152 03 184.54355220 284.33718737    11.6410     553.7  20.0894    1.998   0.746  4608 4.559    0.57269 0.024544   43.55      5.8      0.685
005653163-01 005653163 01   2.40412939 132.69759612     8.7488     161.2   4.1414    1.345   1.000  5780 4.438    0.03513 0.012328    3.45      8.6    810.330
005653693-01 005653693 01 408.74567075 539.42337818     8.6072     556.6  17.3682    2.021   0.724  5127 4.558    0.95314 0.025582   94.16      7.9      0.357
005653693-02 005653693 02   0.67643133 131.80648975     8.6551      17.5   3.9196    0.298   0.724  5127 4.558    0.01334 0.003771    1.44      6.1   1824.771
005653693-03 005653693 03  47.81437432 141.74471394     9.1964     235.7   0.8751    1.367   0.724  5127 4.558    0.22798 0.017300  198.13      3.5      6.244
005653693-04 005653693 04  48.83182870 163.47203172     8.0481     342.8   3.0318    2.673   0.724  5127 4.558    0.23120 0.033836   33.42      7.3      6.071
005653693-05 005653693 05 123.58650271 209.10084098     7.6994     181.1  21.6488    1.061   0.724  5127 4.558    0.42938 0.013435   29.52      4.4      1.760
005653693-06 005653693 06 180.23902111 285.85486854     7.4261     678.3   6.9887    2.128   0.724  5127 4.558    0.55219 0.026940  121.77      8.5      1.064
005653849-01 005653849 01 356.45440300 211.95171504   282.3529   27983.9  37.4054   14.023   0.777  5470 4.509    0.87831 0.165393   66.93    406.5      0.628
005653849-02 005653849 02 263.94029451 212.78207312   292.7979   18611.1  15.0000   10.506   0.777  5470 4.509    0.71887 0.123908  150.48     -1.0      0.937
005682476-01 005682476 01 280.75691916 188.03827704    15.0090    2338.7   3.0000    3.013   0.644  4730 4.619    0.71919 0.042869  742.16     -1.0      0.360
005682476-02 005682476 02   0.76803996 131.73827704     9.3859    2224.0   2.0000    2.943   0.644  4730 4.619    0.01407 0.041882    3.10     -1.0    939.906
005682476-03 005682476 03 185.88409871 187.33491984     8.3402    2045.6  11.7341    3.260   0.644  4730 4.619    0.54632 0.046382   82.06      5.8      0.623
005683450-01 005683450 01 311.34411396 369.86663556     8.1395     564.6  20.8617    1.823   0.696  4993 4.580    0.78752 0.023999   76.19      7.5      0.435
005684135-01 005684135 01 322.77271164 209.94398562     7.2429    1520.2  24.3499    2.846   0.723  5506 4.617    0.85124 0.036079   96.20      9.8      0.594
005684166-01 005684166 01 466.07577096 337.05275806     8.6818     583.9  14.1668    2.344   0.907  5952 4.519    1.17329 0.023680  186.82      7.9      0.672
005685704-01 005685704 01   0.51279590 131.63200851    11.1834       0.0   0.8802    0.003   0.552  3874 4.701    0.01033 0.000056    1.50      0.0    576.633
005685704-02 005685704 02   0.51300213 131.65786882    22.7774    3290.6   1.5000    3.117   0.552  3874 4.701    0.01033 0.051744    2.81     -1.0    576.324
005686174-01 005686174 01  14.27932421 139.98129237    12.1728     264.8   3.3454    1.079   0.595  4102 4.675    0.09776 0.016619   20.76     11.0      9.396
005686174-02 005686174 02 439.30021029 212.51165413     9.2228     776.2   3.6205    2.076   0.595  4102 4.675    0.95988 0.031977  425.66      8.5      0.097
005686435-01 005686435 01 198.01397095 144.52940192    10.1889     467.0   3.5124    1.757   0.737  4994 4.569    0.59998 0.021850  287.27      7.7      0.841
005686435-02 005686435 02 353.60821980 439.90796012    13.2457     553.1   5.9008    1.907   0.737  4994 4.569    0.88313 0.023707  309.13      8.4      0.388
005687745-01 005687745 01 509.55145897 310.61367415     9.6662     894.7   6.9118    6.486   2.230  5013 3.711    1.22000 0.026655  573.12      4.5      1.890
005688032-01 005688032 01 259.20320160 177.68530546    12.1390     268.3   3.1221    3.486   1.874  5927 3.934    0.82156 0.017045  357.64      5.5      5.753
005688032-02 005688032 02 549.35701250 328.64255660    11.3967     271.6   5.9834    3.191   1.874  5927 3.934    1.35554 0.015604  601.48      6.2      2.113
005688032-03 005688032 03 341.90287648 405.49882002    10.7744     259.7   5.0237    3.339   1.874  5927 3.934    0.98813 0.016329  328.61      6.4      3.977
005688032-04 005688032 04 253.50231454 145.58917125     9.0605     352.7   3.2990    3.928   1.874  5927 3.934    0.80947 0.019208  359.81      7.5      5.926
005688790-01 005688790 01   8.07483941 134.70422200     7.5470     752.6   2.0584    1.267   0.398  3675 4.869    0.05934 0.029174   15.95      9.7      7.351
005688910-01 005688910 01  25.87735308 152.82087603     7.7423     384.7   4.8304    2.305   1.093  6036 4.382    0.17407 0.019324   29.52      9.9     46.890
005688997-01 005688997 01  23.86956848 147.00585676   107.2198    6314.0   3.4317   14.217   1.166  6022 4.308    0.16270 0.111737   29.10    101.8     60.515
005689351-01 005689351 01 390.89898547 367.02175327    13.8892     783.6   7.1004    2.633   0.760  5001 4.582    0.97338 0.031751  202.84     11.5      0.342
005689351-02 005689351 02 489.64740268 355.36097367    12.9431    1098.9   6.8050    2.917   0.760  5001 4.582    1.13108 0.035174  327.27     15.2      0.253
005689351-03 005689351 03 268.78676534 133.29677363    11.9598     833.0   8.5759    2.868   0.760  5001 4.582    0.75831 0.034587  100.66     12.1      0.563
005689351-04 005689351 04   1.05922813 131.71957724    10.3978      40.7   3.3815    0.594   0.760  5001 4.582    0.01892 0.007160    1.42      8.6    904.367
005689351-05 005689351 05 149.76503704 142.98269188     8.2802     630.1   3.2512    2.181   0.760  5001 4.582    0.51347 0.026298  212.76      6.5      1.228
005689351-06 005689351 06  60.54386625 153.54223821     8.1443     378.2   3.3041    1.701   0.760  5001 4.582    0.28073 0.020516   81.34      7.7      4.107
005689351-07 005689351 07 173.91903694 148.61238168     7.1621     596.6   2.5956    2.222   0.760  5001 4.582    0.56729 0.026791  268.97      6.6      1.006
005689996-01 005689996 01   1.21076588 132.38202704     9.5352    1145.3   3.0000    1.665   0.494  4647 4.760    0.01779 0.030885    3.22     -1.0    322.099
005689996-02 005689996 02 178.11291059 249.73878440    11.6946    1777.4   3.1563    2.142   0.494  4647 4.760    0.49581 0.039732  388.19      5.9      0.415
005694346-01 005694346 01 338.65906252 278.28221453     8.0257     858.0   3.8707   42.375  12.951  4855 2.514    1.19786 0.029984  437.56      6.9     58.188
005694612-01 005694612 01 528.42372957 175.35149393    30.6843     116.7   4.6977   51.853  42.122  3903 1.249    1.33975 0.011281  530.61      5.5    205.519
005694612-02 005694612 02 365.54318006 342.31223302    20.2487     183.4  12.7485   63.584  42.122  3903 1.249    1.04792 0.013833  143.90      5.1    335.925
005695396-01 005695396 01   5.36362753 133.17473125    44.7665      35.5   3.1384    0.668   1.016  5680 4.414    0.05951 0.006028    8.24     13.1    271.814
005695396-02 005695396 02 253.57076477 170.67268745    14.4416     294.3   3.9674    2.344   1.016  5680 4.414    0.77808 0.021143  154.99      8.9      1.590
005695396-03 005695396 03 317.88353035 327.81014823    11.7071     284.9   3.0086    1.970   1.016  5680 4.414    0.90463 0.017767  449.16     10.3      1.176
005695524-01 005695524 01 515.65839552 233.38237182    11.6435     564.9   5.4476    3.598   1.122  6214 4.382    1.30197 0.029387  239.65     12.1      0.992
005695524-02 005695524 02 319.50888013 425.73592636    10.3195     503.0   4.8546    2.649   1.122  6214 4.382    0.94627 0.021639  401.99     10.2      1.878
005695524-03 005695524 03 511.85389660 173.62881559    10.1089     504.3   5.0168    2.924   1.122  6214 4.382    1.29556 0.023883  402.95     10.6      1.002
005695524-04 005695524 04 437.71595531 449.06276639     8.9614     374.8   4.3769    2.348   1.122  6214 4.382    1.16722 0.019179  537.95      7.2      1.234
005695524-05 005695524 05 545.54206168 412.69772209     8.8471     443.7   5.2267    2.998   1.122  6214 4.382    1.35180 0.024489  289.43      9.0      0.920
005696889-01 005696889 01 572.79347813 417.95035761     8.8742     325.8  23.9580    2.813   1.470  6718 4.202    1.45627 0.017538  141.93     11.9      1.860
005696909-01 005696909 01   0.64303065 131.76674455    40.4906     582.4   0.8943    3.008   1.036  5681 4.315    0.01359 0.026610    2.87     66.8   5426.558
005696909-02 005696909 02   0.64302983 132.08225177    21.7146     333.8   0.5503    2.379   1.036  5681 4.315    0.01359 0.021047    4.29     34.8   5426.567
005696909-03 005696909 03   0.64305828 131.62974382    16.9155    1110.9   1.5000    3.441   1.036  5681 4.315    0.01359 0.030441    3.41     -1.0   5426.247
005697440-01 005697440 01 380.22036017 209.06847021     7.9456    2003.8  27.3270    4.488   0.811  5785 4.571    0.98947 0.050710   51.06      9.5      0.674
005697440-02 005697440 02 380.23324294 204.31826764     7.7156    2159.6  47.0385    7.106   0.811  5785 4.571    0.98949 0.080295   25.26      9.2      0.674
005698195-01 005698195 01 487.60733981 450.41157169     9.1255     530.2  19.1792    3.620   1.546  5729 4.068    1.22054 0.021456  175.98     11.8      1.549
005699171-01 005699171 01 383.04659631 455.21002958    13.6327    1410.6   9.4682    3.319   0.731  4491 4.585    0.93787 0.041602  173.18      4.5      0.221
005699171-02 005699171 02 431.79768569 243.57067786    12.8348    1945.8  13.7455    3.179   0.731  4491 4.585    1.01585 0.039853  226.33      6.3      0.189
005699171-03 005699171 03 320.60051041 371.61096440     9.4334    2549.7  19.2431    4.159   0.731  4491 4.585    0.83295 0.052144   87.43      9.5      0.281
005699984-01 005699984 01 366.14950035 202.74864031     7.5399    1325.9  13.1878    2.067   0.558  4515 4.686    0.82141 0.033946  186.43      7.3      0.172
005700110-01 005700110 01 509.00163677 571.20857369     8.0314    1379.6  15.9519    3.902   0.898  5822 4.529    1.24555 0.039814  133.74      8.9      0.535
005700330-01 005700330 01 465.79592838 178.14374607  1249.9508   73392.8  17.7465   55.438   2.057  5653 3.905    1.26372 0.246980  244.71   1277.4      2.424
005700330-02 005700330 02 404.83755273 444.64045900  1071.0902   73498.5  17.7004   55.437   2.057  5653 3.905    1.15091 0.246974  213.63   1077.1      2.923
005700330-03 005700330 03 159.66344986 258.20090223   979.6972   72979.2  17.7361   55.272   2.057  5653 3.905    0.61895 0.246238   83.91   1241.3     10.106
005700330-04 005700330 04 332.03872205 311.41946039   882.4307   72761.6  17.7573   55.360   2.057  5653 3.905    1.00843 0.246630  173.07    912.2      3.807
005700330-05 005700330 05 441.91048477 530.15600549   749.1562   73374.0  17.7118   55.458   2.057  5653 3.905    1.22014 0.247065  232.38    854.5      2.600
005700330-06 005700330 06 308.86245348 434.16929701   740.7622   72947.0  17.7067   55.288   2.057  5653 3.905    0.96094 0.246308  162.40    807.0      4.193
005700330-07 005700330 07 644.48972080 151.76449112   469.1934   73098.1  17.6877   55.321   2.057  5653 3.905    1.56915 0.246456  339.64    665.7      1.572
005700330-08 005700330 08 524.61121942 471.11335541   654.5555   24639.9   9.0000   31.806   2.057  5653 3.905    1.36798 0.141697  506.45     -1.0      2.069
005700900-01 005700900 01 535.79321385 517.76555813     8.7892     955.0  18.8277    3.070   0.960  5982 4.493    1.31082 0.029307  187.82      9.6      0.615
005702236-01 005702236 01 345.17868858 463.93247842    10.8417     657.2   9.9740    2.192   0.666  5255 4.605    0.83504 0.030168  104.42      3.9      0.435
005702637-01 005702637 01   0.52348058 131.55785370    10.6206     104.3   1.3880    1.764   1.482  7057 4.251    0.01432 0.010906    1.63     10.2  23808.911
005702637-02 005702637 02   0.52358151 131.58900246    10.8401     115.1   1.5566    1.829   1.482  7057 4.251    0.01432 0.011312    1.57      7.9  23802.791
005702637-03 005702637 03   1.14522654 131.53801098     7.5763     102.5   4.3276    1.763   1.482  7057 4.251    0.02413 0.010900    1.29      3.1   8383.366
005702730-01 005702730 01 504.09502567 444.09282238    12.4023     272.7   3.1238    1.772   0.959  6141 4.468    1.23382 0.016930  734.94      9.9      0.770
005703017-01 005703017 01   0.56509478 132.33561879     9.0600       0.5   2.5427    0.106   1.440  6890 4.205    0.01427 0.000674    1.80      0.3  20567.642
005703017-02 005703017 02 392.55996053 342.72211820     9.7708     287.6   8.4533    2.629   1.440  6890 4.205    1.11912 0.016731  254.11      8.0      3.343
005703017-03 005703017 03 352.61651397 462.00852556     7.2770     313.8   3.2786    2.963   1.440  6890 4.205    1.04185 0.018854  395.22      7.5      3.857
005705411-01 005705411 01   4.15559385 135.04784226     9.5819      34.5  47.5169    1.175   1.976  7992 4.107    0.06180 0.005450    1.01     15.8   3737.060
005705575-01 005705575 01   0.79336613 132.26430396     7.3242      25.9   4.4878    0.941   1.588  7509 4.206    0.01911 0.005428    1.12      8.1  19670.930
005705613-01 005705613 01   4.21611470 131.79903446     8.8886       5.5  21.6561    0.735   3.018  8617 3.780    0.06439 0.002231    1.51      5.5  10853.796
005706341-01 005706341 01 228.73007490 179.79937024    49.7343     216.2   4.1923   13.143   8.365  5284 2.855    0.89514 0.014398  305.74      4.7     60.995
005706595-01 005706595 01   4.57864756 132.58143446     9.7488      96.1   4.4423    1.108   0.954  5569 4.459    0.05316 0.010645    3.90     10.6    277.579
005706988-01 005706988 01 321.81715579 169.18986751    23.3073    2745.3   7.8639   13.229   2.088  7545 4.026    1.09460 0.058059  152.11      3.7     10.565
005706988-02 005706988 02 576.16349521 412.92713974    23.2010    1101.8   3.0906    7.414   2.088  7545 4.026    1.61392 0.032539 1098.06      2.8      4.860
005706988-03 005706988 03 576.13383175 412.85557834    23.5221   32895.3  23.8154   38.472   2.088  7545 4.026    1.61386 0.168850  216.02     16.6      4.860
005706988-04 005706988 04 389.39283533 252.12673266    19.6350    8736.1   8.1487   34.113   2.088  7545 4.026    1.24292 0.149720  207.11      9.4      8.194
005707897-01 005707897 01   3.36914530 132.04733736     7.7781       9.0  16.0777    0.357   1.186  6363 4.313    0.04478 0.002758    1.70      6.3   1030.162
005707897-02 005707897 02 242.92778364 348.72314221    43.1065    1718.6   9.0000    4.937   1.186  6363 4.313    0.77578 0.038144  213.07     -1.0      3.433
005708815-01 005708815 01 328.93956293 425.52358216    29.3259    2579.6   6.2733   13.489   1.496  6651 4.228    1.03847 0.082626  170.35     12.7      3.638
005708815-02 005708815 02 322.80981627 445.74612686    22.8235    2011.3  34.2853   12.401   1.496  6651 4.228    1.02553 0.075962   28.58     13.3      3.731
005708815-03 005708815 03 320.92456512 430.10582603    10.9146     458.4  22.4279    3.280   1.496  6651 4.228    1.02154 0.020089  101.41      2.9      3.760
005709582-01 005709582 01 382.82952599 134.04896717     7.9780    1188.9   4.5578    8.498   1.250  5637 4.254    1.03986 0.062303  230.02      8.7      1.307
005709664-01 005709664 01   1.12246151 132.31803682    11.0374      14.1   4.2252    0.901   2.076  7437 3.986    0.02432 0.003975    1.30      4.9  19971.396
005709664-02 005709664 02   1.12263184 131.65974994     8.8867      20.6   7.3418    1.010   2.076  7437 3.986    0.02432 0.004460    1.18      6.7  19967.356
005709725-01 005709725 01 491.41431604 168.61583837    12.9735     861.4   7.5015    2.804   0.898  5252 4.442    1.13810 0.028614  380.23     12.5      0.424
005709725-02 005709725 02 529.03663143 341.61077806    10.6337     823.0   5.5074    2.737   0.898  5252 4.442    1.19547 0.027934  559.59     10.8      0.385
005709725-03 005709725 03   1.85104447 133.09828488     8.5833      53.5   2.9198    0.794   0.898  5252 4.442    0.02755 0.008100    2.40      9.2    724.139
005709725-04 005709725 04 503.94827246 462.79284779     9.7529     645.4  11.4831    2.280   0.898  5252 4.442    1.15737 0.023272  312.62     10.3      0.410
005709725-05 005709725 05   1.85141783 131.75474274     8.5123      44.3   3.5781    0.723   0.898  5252 4.442    0.02756 0.007380    2.01      8.5    723.944
005709725-06 005709725 06 306.61421863 219.90076447    11.5630     699.3   5.7218    2.439   0.898  5252 4.442    0.83102 0.024894  348.39     10.8      0.796
005710376-01 005710376 01  62.32387543 169.05267628    10.6458    1802.9   8.0262    2.629   0.636  4002 4.635    0.26471 0.037882   58.41      8.6      1.327
005710376-02 005710376 02  55.17485536 158.20906781    11.2157    1024.4   3.3667    2.223   0.636  4002 4.635    0.24406 0.032027   89.23      7.4      1.561
005710376-03 005710376 03 151.44152312 272.23171751    11.9861    1190.3   2.5493    2.576   0.636  4002 4.635    0.47844 0.037111  268.31      5.1      0.406
005710376-04 005710376 04 106.49835407 162.92766049    12.0289    1331.3   2.5000    2.224   0.636  4002 4.635    0.37835 0.032046  334.28     -1.0      0.649
005710376-05 005710376 05  21.96266769 139.69640797    11.2861     577.5   1.6259    2.669   0.636  4002 4.635    0.13207 0.038451   33.86      4.8      5.330
005716244-01 005716244 01   0.66511345 131.89362322  1336.5995    4191.4   7.9814    7.372   0.906  5984 4.521    0.01488 0.074562    1.03    100.8   4256.819
005716472-01 005716472 01   0.57622965 131.73063541     8.8547      33.2   3.3989    1.098   1.632  6556 4.120    0.01472 0.006166    1.11      6.9  20345.550
