tce,keep,onEB,onCum,onOther
002166218-02,True,False,False,False
002166218-03,True,False,False,False
002166218-04,True,False,False,False
002167600-01,True,False,False,False
002167600-02,True,False,False,False
002167600-03,True,False,False,False
002167600-04,True,False,False,False
002167600-05,True,False,False,False
002167600-06,True,False,False,False
002167600-08,True,False,False,False
002167600-09,True,False,False,False
002167600-10,True,False,False,False
002167890-01,False,True,True,False
002167920-01,True,False,False,False
002168321-01,True,False,False,False
002168333-01,True,False,False,False
002168333-02,True,False,False,False
002168417-01,True,False,False,False
002168420-01,True,False,False,False
002282763-01,True,False,False,False
002283124-01,True,False,False,False
002283308-01,True,False,False,False
002285586-01,True,False,False,False
002285586-02,True,False,False,False
002285586-03,True,False,False,False
002297728-01,True,False,False,False
002297728-02,True,False,False,False
002297728-03,True,False,False,False
002297739-01,True,False,False,False
002297739-03,True,False,False,False
002297739-04,True,False,False,False
002297739-05,True,False,False,False
002297739-06,True,False,False,False
002297739-07,True,False,False,False
002297739-08,True,False,False,False
002297739-09,True,False,False,False
002297739-10,True,False,False,False
002300165-01,True,False,False,False
002300529-01,True,False,False,False
002300603-01,True,False,False,False
002300603-02,True,False,False,False
002302548-01,False,False,True,False
002302548-02,False,False,True,False
002302624-01,True,False,False,False
002303365-01,True,False,False,False
002303599-01,True,False,False,False
002304168-01,True,False,False,False
002304168-02,True,False,False,False
002304235-01,True,False,False,False
002304235-02,True,False,False,False
002304235-03,True,False,False,False
002304566-01,True,False,False,False
002305372-01,False,True,True,False
002305819-01,True,False,False,False
002305949-01,True,False,False,False
002306740-01,False,True,True,False
002306740-02,False,True,True,False
002306740-03,False,True,True,False
002306756-01,False,True,False,False
002307199-01,False,True,True,False
002307533-01,True,False,False,False
002307533-02,True,False,False,False
002307533-03,True,False,False,False
002307533-04,True,False,False,False
002307533-05,True,False,False,False
002307533-06,True,False,False,False
002307533-07,True,False,False,False
002307533-08,True,False,False,False
002307533-09,True,False,False,False
002307624-01,True,False,False,False
002308957-01,False,True,True,False
002308957-02,False,True,True,False
002308968-01,True,False,False,False
002309579-01,True,False,False,False
002309579-02,True,False,False,False
002309579-03,True,False,False,False
002309579-04,True,False,False,False
002309579-05,True,False,False,False
002309579-06,True,False,False,False
002309579-07,True,False,False,False
002309585-01,False,False,True,False
002309587-01,False,True,True,False
002309587-02,False,True,True,False
002309587-03,False,True,True,False
002309910-01,False,False,True,False
002310968-01,True,False,False,False
002421693-01,True,False,False,False
002422539-01,True,False,False,False
002422539-02,True,False,False,False
002424932-01,True,False,False,False
002425057-01,True,False,False,False
002436421-01,True,False,False,False
002436450-01,True,False,False,False
002436450-02,True,False,False,False
002436450-04,True,False,False,False
002436450-05,True,False,False,False
002436450-06,True,False,False,False
002436450-07,True,False,False,False
002436450-08,True,False,False,False
002437060-01,False,True,True,False
002437060-02,False,True,True,False
002437112-01,False,False,True,False
002437209-01,True,False,False,False
002437209-02,True,False,False,False
002437209-03,True,False,False,False
002437452-01,False,True,True,False
002437783-01,False,False,True,False
002438061-01,False,True,True,False
002438061-02,False,True,True,False
002438062-01,False,False,True,False
002438070-01,False,False,True,False
002438070-03,False,False,True,False
002438114-02,True,False,False,False
002438114-03,True,False,False,False
002438114-04,True,False,False,False
002438151-01,True,False,False,False
002438249-01,True,False,False,False
002438264-01,False,False,True,False
002438490-01,False,True,True,False
002438490-02,False,True,True,False
002438490-03,False,True,True,False
002438502-01,False,False,True,False
002438502-02,False,False,True,False
002439211-01,True,False,False,False
002439211-02,True,False,False,False
002439211-03,True,False,False,False
002439469-01,True,False,False,False
002439660-01,True,False,False,False
002439660-02,True,False,False,False
002439660-03,True,False,False,False
002440757-01,False,True,True,False
002441151-01,False,False,True,False
002441151-02,False,False,True,False
002441495-01,False,False,True,False
002442118-01,True,False,False,False
002442118-02,True,False,False,False
002443309-01,True,False,False,False
002443393-01,False,False,True,False
002444412-01,False,False,True,False
002444412-02,False,False,True,False
002445298-01,True,False,False,False
002445298-02,True,False,False,False
002445982-01,True,False,False,False
002446113-01,False,False,True,False
002447697-01,True,False,False,False
002447697-02,True,False,False,False
002447832-01,True,False,False,False
002447832-02,True,False,False,False
002447893-01,False,True,False,False
002447893-02,False,True,False,False
002447893-03,False,True,False,False
002448113-01,True,False,False,False
002449090-01,False,True,True,False
002449384-01,True,False,False,False
002449407-01,True,False,False,False
002449639-01,True,False,False,False
002449818-02,True,False,False,False
002450666-01,True,False,False,False
002450944-01,True,False,False,False
002450944-02,True,False,False,False
002452440-01,False,True,True,False
002452450-01,False,False,True,False
002452450-02,False,False,True,False
002452450-03,False,False,True,False
002554068-01,True,False,False,False
002554853-01,True,False,False,False
002554853-02,True,False,False,False
002554867-01,True,False,False,False
002554867-02,True,False,False,False
002556127-01,True,False,False,False
002556127-02,True,False,False,False
002556639-01,True,False,False,False
002557302-01,True,False,False,False
002557335-01,True,False,False,False
002557335-02,True,False,False,False
002557430-01,False,True,True,False
002558370-01,False,True,True,False
002558370-02,False,True,True,False
002568519-01,True,False,False,False
002568971-01,False,False,True,False
002568971-02,False,False,True,False
002568971-03,False,False,True,False
002569488-01,False,False,True,False
002569488-02,False,False,True,False
002569488-03,False,False,True,False
002569488-04,False,False,True,False
002569488-05,False,False,True,False
002569494-01,False,True,True,False
002569494-02,False,True,True,False
002570281-01,True,False,False,False
002570281-02,True,False,False,False
002571008-01,True,False,False,False
002571238-01,False,False,True,False
002571238-02,False,False,True,False
002571417-01,True,False,False,False
002571868-01,True,False,False,False
002573108-01,True,False,False,False
002574960-01,True,False,False,False
002574960-02,True,False,False,False
002574960-03,True,False,False,False
002574960-04,True,False,False,False
002574960-05,True,False,False,False
002574960-06,True,False,False,False
002574960-07,True,False,False,False
002575161-01,True,False,False,False
002575161-02,True,False,False,False
002575161-03,True,False,False,False
002575964-01,True,False,False,False
002575964-02,True,False,False,False
002575964-03,True,False,False,False
002576197-01,False,False,True,False
002576197-02,False,False,True,False
002576224-01,False,False,True,False
002576692-02,False,True,True,False
002577109-01,True,False,False,False
002577786-01,True,False,False,False
002578077-01,True,False,False,False
002578404-01,True,False,False,False
002578891-01,True,False,False,False
002578891-02,True,False,False,False
002578891-03,True,False,False,False
002578891-04,True,False,False,False
002578901-01,True,False,False,False
002579041-01,True,False,False,False
002579814-01,True,False,False,False
002580613-01,True,False,False,False
002581316-01,False,False,True,False
002581452-01,True,False,False,False
002581452-02,True,False,False,False
002581452-03,True,False,False,False
002581452-04,True,False,False,False
002581452-05,True,False,False,False
002581452-06,True,False,False,False
002581452-07,True,False,False,False
002581452-08,True,False,False,False
002581452-09,True,False,False,False
002581457-01,True,False,False,False
002581554-01,False,False,True,False
002581626-01,True,False,False,False
002581674-01,True,False,False,False
002581674-02,True,False,False,False
002581905-01,True,False,False,False
002581964-01,True,False,False,False
002581964-02,True,False,False,False
002581964-03,True,False,False,False
002581964-04,True,False,False,False
002582539-01,True,False,False,False
002582539-02,True,False,False,False
002582539-03,True,False,False,False
002582539-04,True,False,False,False
002582575-01,True,False,False,False
002582800-01,True,False,False,False
002582800-02,True,False,False,False
002582800-03,True,False,False,False
002582800-04,True,False,False,False
002583153-01,True,False,False,False
002583153-02,True,False,False,False
002583777-01,False,False,True,False
002583777-02,False,False,True,False
002584115-01,True,False,False,False
002584879-01,True,False,False,False
002584879-02,True,False,False,False
002584879-03,True,False,False,False
002584879-04,True,False,False,False
002584879-05,True,False,False,False
002584879-06,True,False,False,False
002585092-01,True,False,False,False
002585092-02,True,False,False,False
002692377-01,False,False,True,False
002692377-02,False,False,True,False
002693092-01,False,True,True,False
002694186-01,True,False,False,False
002694337-01,True,False,False,False
002694337-02,True,False,False,False
002694337-03,True,False,False,False
002694746-01,True,False,False,False
002694746-02,True,False,False,False
